Accession,GWAS_ID,Reference,Year,Orientation,Origin,Continent,Country,Region,Azithromycin,Ceftriaxone,Ciprofloxacin,MtrA,MtrC,FarA,Mtr_Upregulation
ERR1067845,GCGS0281,Grad2014_2016,2004.0,MSW,Urethra,North America,USA,Las Vegas,0.5,0.008,0.015,Inducible,Intact,Intact,Yes
ERR1067846,GCGS0599,Grad2014_2016,2004.0,MSW,Urethra,North America,USA,Las Vegas,0.25,0.015,0.004,Inducible,Intact,Intact,No
ERR1067847,GCGS0389,Grad2014_2016,2004.0,MSM,Urethra,North America,USA,Las Vegas,0.5,0.008,0.008,Inducible,Intact,Intact,Yes
ERR1067848,GCGS0390,Grad2014_2016,2004.0,MSW,Urethra,North America,USA,Las Vegas,0.5,0.008,0.004,Inducible,Intact,Intact,Yes
ERR1067849,GCGS0606,Grad2014_2016,2004.0,MSM,Urethra,North America,USA,Miami,0.25,0.03,4,Inducible,Intact,Intact,Yes
ERR1067850,GCGS1099,Grad2014_2016,2004.0,MSW,Urethra,North America,USA,Miami,0.25,0.03,16,Inducible,Intact,Intact,Yes
ERR1067851,GCGS1100,Grad2014_2016,2004.0,MSW,Urethra,North America,USA,Miami,0.25,0.015,4,Inducible,Intact,Intact,Yes
ERR1067852,GCGS1102,Grad2014_2016,2004.0,,Urethra,North America,USA,Miami,0.5,0.03,16,Inducible,Intact,Intact,Yes
ERR1067853,GCGS1101,Grad2014_2016,2004.0,MSM,Urethra,North America,USA,Minneapolis,0.25,0.008,8,Inducible,Intact,Intact,Yes
ERR1067854,GCGS0761,Grad2014_2016,2004.0,MSW,Urethra,North America,USA,Minneapolis,0.5,0.03,0.008,Inducible,Intact,Intact,Yes
ERR1067855,GCGS0775,Grad2014_2016,2004.0,MSM,Urethra,North America,USA,Orange County,0.25,0.015,4,Inducible,Intact,Intact,Yes
ERR1067856,GCGS0442,Grad2014_2016,2003.0,MSW,Urethra,North America,USA,Philadelphia,0.25,0.015,0.008,Inducible,Intact,Intact,Yes
ERR1067857,GCGS0536,Grad2014_2016,2000.0,MSW,Urethra,North America,USA,Baltimore,0.25,0.015,0.008,Inducible,Intact,Intact,Yes
ERR1067858,GCGS0309,Grad2014_2016,2000.0,MSM,Urethra,North America,USA,Baltimore,0.5,0.015,0.015,Inducible,Intact,Intact,Yes
ERR1067859,GCGS0546,Grad2014_2016,2000.0,MSW,Urethra,North America,USA,Birmingham,0.25,0.008,0.004,Inducible,Intact,Intact,Yes
ERR1067860,GCGS0734,Grad2014_2016,2000.0,MSW,Urethra,North America,USA,Cincinnati,0.25,0.03,0.008,Inducible,Intact,Intact,Yes
ERR1067861,GCGS0735,Grad2014_2016,2000.0,MSW,Urethra,North America,USA,Cincinnati,0.5,0.03,0.015,Inducible,Intact,Intact,Yes
ERR1067862,GCGS0270,Grad2014_2016,2000.0,MSW,Urethra,North America,USA,Cleveland,0.25,0.008,0.015,Inducible,Intact,Intact,Yes
ERR1067863,GCGS0364,Grad2014_2016,2000.0,,Urethra,North America,USA,Fort Bragg,0.25,0.015,0.008,Inducible,Intact,Intact,Yes
ERR1067864,GCGS0365,Grad2014_2016,2000.0,,Urethra,North America,USA,Fort Bragg,0.25,0.015,0.008,Inducible,Intact,Intact,Yes
ERR1067865,GCGS0366,Grad2014_2016,2000.0,,Urethra,North America,USA,Fort Bragg,0.5,0.015,0.015,Inducible,Intact,Intact,Yes
ERR1067866,GCGS0407,Grad2014_2016,2000.0,,Urethra,North America,USA,Minneapolis,0.25,0.015,0.008,Inducible,Intact,Intact,Yes
ERR1067867,GCGS0286,Grad2014_2016,2000.0,,Urethra,North America,USA,Minneapolis,0.25,0.008,0.008,Inducible,Intact,Intact,Yes
ERR1067868,GCGS0251,Grad2014_2016,2000.0,,Urethra,North America,USA,Minneapolis,0.25,0.004,0.008,Inducible,Intact,Intact,Yes
ERR1067869,GCGS0702,Grad2014_2016,2000.0,MSM,Urethra,North America,USA,Seattle,0.25,0.015,0.015,Inducible,Intact,Intact,Yes
ERR1067870,GCGS0501,Grad2014_2016,2000.0,MSW,Urethra,North America,USA,San Francisco,0.25,0.008,0.008,Inducible,Intact,Intact,Yes
ERR1067871,GCGS0709,Grad2014_2016,2000.0,MSMW,Urethra,North America,USA,San Francisco,0.25,0.015,0.06,Inducible,Intact,Intact,Yes
ERR1067872,GCGS0812,Grad2014_2016,2000.0,MSW,Urethra,North America,USA,San Francisco,0.25,0.03,0.015,Inducible,Intact,Intact,Yes
ERR1067873,GCGS0306,Grad2014_2016,2001.0,MSMW,Urethra,North America,USA,Atlanta,0.25,0.015,0.008,Inducible,Intact,Intact,Yes
ERR1067874,GCGS0726,Grad2014_2016,2001.0,MSW,Urethra,North America,USA,Birmingham,0.5,0.03,0.004,Inducible,Intact,Intact,Yes
ERR1067875,GCGS0317,Grad2014_2016,2001.0,MSW,Urethra,North America,USA,Birmingham,0.25,0.008,0.008,Inducible,Intact,Intact,Yes
ERR1067876,GCGS0829,Grad2014_2016,2001.0,MSW,Urethra,North America,USA,Cincinnati,0.25,0.03,0.008,Inducible,Intact,Intact,Yes
ERR1067877,GCGS0736,Grad2014_2016,2001.0,MSW,Urethra,North America,USA,Cincinnati,0.25,0.03,0.015,Inducible,Intact,Intact,Yes
ERR1067878,GCGS0830,Grad2014_2016,2001.0,MSW,Urethra,North America,USA,Cincinnati,0.25,0.06,0.015,Inducible,Intact,Intact,Yes
ERR1067879,GCGS0831,Grad2014_2016,2001.0,MSW,Urethra,North America,USA,Cincinnati,0.25,0.06,0.015,Inducible,Intact,Intact,Yes
ERR1067880,GCGS0565,Grad2014_2016,2001.0,,Urethra,North America,USA,Cincinnati,0.5,0.03,0.008,Inducible,Intact,Intact,Yes
ERR1067881,GCGS0245,Grad2014_2016,2001.0,MSMW,Urethra,North America,USA,Orange County,0.25,0.004,0.004,Inducible,Intact,Intact,Yes
ERR1067882,GCGS0845,Grad2014_2016,2001.0,MSW,Urethra,North America,USA,Philadelphia,0.25,0.015,0.015,Inducible,Intact,Intact,Yes
ERR1067883,GCGS0439,Grad2014_2016,2001.0,MSW,Urethra,North America,USA,Philadelphia,0.5,0.008,0.004,Inducible,Intact,Intact,Yes
ERR1067884,GCGS1103,Grad2014_2016,2001.0,MSW,Urethra,North America,USA,San Diego,0.25,0.015,0.004,Inducible,Intact,Intact,No
ERR1067885,GCGS0537,Grad2014_2016,2002.0,MSW,Urethra,North America,USA,Baltimore,0.25,0.015,0.015,Inducible,Intact,Intact,Yes
ERR1067886,GCGS0727,Grad2014_2016,2002.0,MSW,Urethra,North America,USA,Birmingham,0.5,0.015,0.004,Inducible,Intact,Intact,Yes
ERR1067887,GCGS0737,Grad2014_2016,2002.0,MSW,Urethra,North America,USA,Cincinnati,0.5,0.03,0.015,Inducible,Intact,Intact,Yes
ERR1067888,GCGS0566,Grad2014_2016,2002.0,MSW,Urethra,North America,USA,Cincinnati,0.25,0.03,0.008,Inducible,Intact,Intact,Yes
ERR1067889,GCGS0358,Grad2014_2016,2002.0,MSMW,Urethra,North America,USA,Denver,0.25,0.008,0.008,Inducible,Intact,Intact,Yes
ERR1067890,GCGS0385,Grad2014_2016,2002.0,MSW,Urethra,North America,USA,Long Beach,0.25,0.015,8,Inducible,Intact,Intact,Yes
ERR1082156,GCGS0411,Grad2014_2016,2004.0,MSMW,Urethra,North America,USA,Minneapolis,1,0.015,4,Inducible,Intact,Intact,Yes
ERR1082157,GCGS0412,Grad2014_2016,2004.0,MSM,Urethra,North America,USA,Minneapolis,1,0.015,0.015,Inducible,Intact,Intact,Yes
ERR1082158,GCGS0413,Grad2014_2016,2004.0,MSM,Urethra,North America,USA,Minneapolis,1,0.008,4,Inducible,Intact,Intact,Yes
ERR1082159,GCGS0414,Grad2014_2016,2004.0,MSM,Urethra,North America,USA,Minneapolis,1,0.015,4,Inducible,Intact,Intact,Yes
ERR1082160,GCGS0760,Grad2014_2016,2004.0,MSW,Urethra,North America,USA,Minneapolis,1,0.03,0.008,Inducible,Intact,Intact,Yes
ERR1082161,GCGS0415,Grad2014_2016,2004.0,MSMW,Urethra,North America,USA,Minneapolis,1,0.015,4,Inducible,Intact,Intact,Yes
ERR1082162,GCGS0252,Grad2014_2016,2004.0,MSW,Urethra,North America,USA,Minneapolis,2,0.002,0.008,Inducible,Intact,Intact,Yes
ERR1082163,GCGS0288,Grad2014_2016,2004.0,MSM,Urethra,North America,USA,Minneapolis,4,0.008,0.004,Inducible,Intact,Intact,Yes
ERR1082164,GCGS0253,Grad2014_2016,2004.0,MSW,Urethra,North America,USA,New Orleans,1,0.001,0.004,Inducible,Intact,Intact,Yes
ERR1082165,GCGS0434,Grad2014_2016,2004.0,MSM,Urethra,North America,USA,Orange County,1,0.008,0.004,Inducible,Intact,Intact,Yes
ERR1082166,GCGS0444,Grad2014_2016,2004.0,MSW,Urethra,North America,USA,Philadelphia,1,0.03,16,Inducible,Intact,Intact,Yes
ERR1082167,GCGS0652,Grad2014_2016,2004.0,MSM,Urethra,North America,USA,Philadelphia,1,0.015,8,Inducible,Intact,Intact,Yes
ERR1082168,GCGS0490,Grad2014_2016,2004.0,MSM,Urethra,North America,USA,San Diego,4,0.008,4,Inducible,Intact,Intact,Yes
ERR1082169,GCGS0685,Grad2014_2016,2004.0,MSMW,Urethra,North America,USA,San Diego,4,0.015,0.008,Inducible,Intact,Intact,Yes
ERR1082170,GCGS0492,Grad2014_2016,2004.0,MSW,Urethra,North America,USA,San Diego,4,0.008,0.008,Inducible,Intact,Intact,Yes
ERR1082171,GCGS0687,Grad2014_2016,2004.0,MSM,Urethra,North America,USA,San Diego,2,0.015,0.008,Inducible,Intact,Intact,Yes
ERR1082172,GCGS0723,Grad2014_2016,2001.0,MSW,Urethra,North America,USA,Baltimore,1,0.03,0.015,Inducible,Intact,Intact,Yes
ERR1082174,GCGS0356,Grad2014_2016,2001.0,MSMW,Urethra,North America,USA,Denver,4,0.008,0.004,Inducible,Intact,Intact,Yes
ERR1082175,GCGS0357,Grad2014_2016,2001.0,MSW,Urethra,North America,USA,Denver,1,0.004,0.004,LOF,Intact,Intact,No
ERR1082176,GCGS0741,Grad2014_2016,2001.0,MSMW,Urethra,North America,USA,Denver,2,0.03,0.004,Inducible,Intact,Intact,Yes
ERR1082177,GCGS0576,Grad2014_2016,2001.0,MSMW,Urethra,North America,USA,Denver,1,0.015,0.008,Inducible,Intact,Intact,Yes
ERR1082178,GCGS0367,Grad2014_2016,2001.0,MSW,Urethra,North America,USA,Honolulu,4,0.008,0.015,Inducible,Intact,Intact,Yes
ERR1082179,GCGS0291,Grad2014_2016,2001.0,MSW,Urethra,North America,USA,New Orleans,2,0.004,0.004,Inducible,Intact,Intact,Yes
ERR1082180,GCGS0622,Grad2014_2016,2001.0,MSW,Urethra,North America,USA,Orange County,1,0.015,0.004,Inducible,Intact,Intact,Yes
ERR1082181,GCGS0813,Grad2014_2016,2001.0,MSM,Urethra,North America,USA,San Francisco,2,0.03,0.008,Inducible,Intact,Intact,Yes
ERR1082182,GCGS0307,Grad2014_2016,2002.0,MSW,Urethra,North America,USA,Atlanta,2,0.008,0.004,Inducible,Intact,Intact,Yes
ERR1082183,GCGS0719,Grad2014_2016,2002.0,MSM,Urethra,North America,USA,Atlanta,4,0.03,0.004,Inducible,Intact,Intact,Yes
ERR1082184,GCGS0724,Grad2014_2016,2002.0,MSW,Urethra,North America,USA,Baltimore,1,0.06,0.015,Inducible,Intact,Intact,Yes
ERR1082185,GCGS0824,Grad2014_2016,2002.0,MSW,Urethra,North America,USA,Baltimore,1,0.06,0.015,Inducible,Intact,Intact,Yes
ERR1082187,GCGS0866,Grad2014_2016,2002.0,MSW,Urethra,North America,USA,Baltimore,1,0.032,0.0169,Inducible,Intact,Intact,Yes
ERR1082188,GCGS0867,Grad2014_2016,2002.0,MSW,Urethra,North America,USA,Baltimore,1,0.032,0.016,Inducible,Intact,Intact,Yes
ERR1082189,GCGS0258,Grad2014_2016,2002.0,MSW,Urethra,North America,USA,Birmingham,4,0.002,0.004,Inducible,Intact,Intact,Yes
ERR1082190,GCGS0577,Grad2014_2016,2002.0,MSW,Urethra,North America,USA,Denver,2,0.008,0.008,Inducible,Intact,Intact,Yes
ERR1082191,GCGS0578,Grad2014_2016,2002.0,MSMW,Urethra,North America,USA,Denver,2,0.008,0.008,Inducible,Intact,Intact,Yes
ERR1082192,GCGS0579,Grad2014_2016,2002.0,MSW,Urethra,North America,USA,Denver,2,0.008,0.008,LOF,Intact,Intact,No
ERR1082193,GCGS0580,Grad2014_2016,2002.0,MSMW,Urethra,North America,USA,Denver,1,0.015,0.008,Inducible,Intact,Intact,Yes
ERR1082194,GCGS0581,Grad2014_2016,2002.0,MSMW,Urethra,North America,USA,Denver,2,0.008,0.008,Inducible,Intact,Intact,Yes
ERR1082195,GCGS0612,Grad2014_2016,2002.0,MSW,Urethra,North America,USA,Minneapolis,1,0.015,0.015,Inducible,Intact,Intact,Yes
ERR1082196,GCGS0408,Grad2014_2016,2002.0,MSW,Urethra,North America,USA,Minneapolis,1,0.015,0.008,Inducible,Intact,Intact,Yes
ERR1082197,GCGS0409,Grad2014_2016,2002.0,MSW,Urethra,North America,USA,Minneapolis,1,0.015,0.004,Inducible,Intact,Intact,Yes
ERR1082198,GCGS0623,Grad2014_2016,2002.0,MSW,Urethra,North America,USA,Orange County,2,0.004,0.004,Inducible,Intact,Intact,Yes
ERR1082199,GCGS0771,Grad2014_2016,2002.0,MSW,Urethra,North America,USA,Orange County,1,0.015,0.004,Inducible,Intact,Intact,Yes
ERR1082200,GCGS0846,Grad2014_2016,2002.0,MSW,Urethra,North America,USA,Philadelphia,1,0.03,0.015,Inducible,Intact,Intact,Yes
ERR1082201,GCGS0441,Grad2014_2016,2002.0,MSW,Urethra,North America,USA,Philadelphia,1,0.004,0.004,Inducible,LOF,Intact,Yes
ERR1082202,GCGS0646,Grad2014_2016,2002.0,MSMW,Urethra,North America,USA,Philadelphia,1,0.015,0.015,Inducible,Intact,Intact,Yes
ERR1082203,GCGS0662,Grad2014_2016,2002.0,MSW,Urethra,North America,USA,Phoenix,1,0.004,0.008,Inducible,Intact,Intact,Yes
ERR1082204,GCGS0663,Grad2014_2016,2002.0,MSM,Urethra,North America,USA,Phoenix,1,0.015,0.008,Inducible,Intact,Intact,Yes
ERR1082205,GCGS0295,Grad2014_2016,2002.0,MSM,Urethra,North America,USA,San Diego,4,0.004,0.008,Inducible,Intact,LOF,Yes
ERR1082206,GCGS0704,Grad2014_2016,2002.0,MSW,Urethra,North America,USA,Seattle,4,0.015,0.008,Inducible,Intact,Intact,Yes
ERR1082207,GCGS0302,Grad2014_2016,2002.0,MSW,Urethra,North America,USA,St Louis,4,0.004,0.004,Inducible,Intact,Intact,Yes
ERR1082208,GCGS0521,Grad2014_2016,2002.0,MSM,Urethra,North America,USA,St Louis,1,0.004,0.004,Inducible,Intact,Intact,Yes
ERR1082209,GCGS0527,Grad2014_2016,2003.0,MSW,Urethra,North America,USA,Atlanta,4,0.015,0.004,Inducible,Intact,Intact,Yes
ERR1082210,GCGS0528,Grad2014_2016,2003.0,MSW,Urethra,North America,USA,Atlanta,2,0.015,0.004,Inducible,Intact,Intact,Yes
ERR1082211,GCGS0720,Grad2014_2016,2003.0,MSW,Urethra,North America,USA,Atlanta,4,0.015,0.004,Inducible,Intact,Intact,Yes
ERR1082212,GCGS0529,Grad2014_2016,2003.0,MSW,Urethra,North America,USA,Atlanta,4,0.015,0.004,Inducible,Intact,Intact,No
ERR1082213,GCGS0721,Grad2014_2016,2003.0,MSW,Urethra,North America,USA,Atlanta,4,0.015,0.004,Inducible,Intact,Intact,Yes
ERR1082214,GCGS0259,Grad2014_2016,2003.0,MSW,Urethra,North America,USA,Birmingham,2,0.004,0.004,Inducible,Intact,Intact,Yes
ERR1082215,GCGS0260,Grad2014_2016,2003.0,MSW,Urethra,North America,USA,Birmingham,2,0.004,0.004,Inducible,Intact,Intact,Yes
ERR1082216,GCGS0268,Grad2014_2016,2003.0,MSW,Urethra,North America,USA,Cincinnati,1,0.004,0.004,Inducible,Intact,Intact,Yes
ERR1082217,GCGS0573,Grad2014_2016,2003.0,MSW,Urethra,North America,USA,Dallas,1,0.015,0.03,Inducible,Intact,Intact,Yes
ERR1082218,GCGS0274,Grad2014_2016,2003.0,MSW,Urethra,North America,USA,Greensboro,2,0.004,0.004,Inducible,Intact,Intact,Yes
ERR1082220,GCGS0386,Grad2014_2016,2003.0,MSM,Urethra,North America,USA,Las Vegas,2,0.008,0.004,Inducible,Intact,Intact,Yes
ERR1082221,GCGS0772,Grad2014_2016,2003.0,MSW,Urethra,North America,USA,Orange County,2,0.03,0.004,Inducible,Intact,Intact,Yes
ERR1082222,GCGS0649,Grad2014_2016,2003.0,MSW,Urethra,North America,USA,Philadelphia,4,0.015,0.004,Inducible,Intact,Intact,Yes
ERR1082223,GCGS0705,Grad2014_2016,2003.0,MSM,Urethra,North America,USA,Seattle,2,0.004,0.004,Inducible,Intact,Intact,Yes
ERR1082224,GCGS0505,Grad2014_2016,2003.0,MSMW,Urethra,North America,USA,San Francisco,2,0.008,0.008,Inducible,Intact,Intact,Yes
ERR1082225,GCGS0301,Grad2014_2016,2003.0,,Urethra,North America,USA,Salt Lake City,2,0.008,0.002,Inducible,Intact,Intact,Yes
ERR1082226,GCGS0519,Grad2014_2016,2003.0,MSW,Urethra,North America,USA,Salt Lake City,4,0.008,0.002,Inducible,Intact,Intact,Yes
ERR1082227,GCGS0520,Grad2014_2016,2003.0,MSM,Urethra,North America,USA,Salt Lake City,4,0.002,0.002,Inducible,Intact,Intact,Yes
ERR1082228,GCGS0530,Grad2014_2016,2004.0,MSW,Urethra,North America,USA,Atlanta,1,0.015,0.008,Inducible,Intact,Intact,Yes
ERR1082229,GCGS0531,Grad2014_2016,2004.0,MSW,Urethra,North America,USA,Atlanta,4,0.015,0.004,Inducible,Intact,Intact,Yes
ERR1082230,GCGS0532,Grad2014_2016,2004.0,MSM,Urethra,North America,USA,Atlanta,4,0.015,0.004,Inducible,Intact,Intact,Yes
ERR1082231,GCGS0533,Grad2014_2016,2004.0,MSW,Urethra,North America,USA,Atlanta,4,0.015,0.004,Inducible,Intact,Intact,Yes
ERR1082232,GCGS0308,Grad2014_2016,2004.0,MSW,Urethra,North America,USA,Atlanta,4,0.015,0.004,Inducible,Intact,Intact,Yes
ERR1082233,GCGS0534,Grad2014_2016,2004.0,MSW,Urethra,North America,USA,Atlanta,4,0.015,0.004,Inducible,Intact,Intact,Yes
ERR1082234,GCGS0535,Grad2014_2016,2004.0,MSMW,Urethra,North America,USA,Atlanta,4,0.008,0.004,Inducible,Intact,Intact,Yes
ERR1082235,GCGS0539,Grad2014_2016,2004.0,MSW,Urethra,North America,USA,Baltimore,1,0.03,0.015,Inducible,Intact,Intact,Yes
ERR1082236,GCGS0825,Grad2014_2016,2004.0,MSW,Urethra,North America,USA,Baltimore,1,0.06,0.03,Inducible,Intact,Intact,Yes
ERR1082237,GCGS0826,Grad2014_2016,2004.0,MSW,Urethra,North America,USA,Baltimore,1,0.06,0.03,Inducible,Intact,Intact,Yes
ERR1082238,GCGS0323,Grad2014_2016,2004.0,MSM,Urethra,North America,USA,Chicago,2,0.008,0.004,Inducible,Intact,Intact,No
ERR1082239,GCGS0325,Grad2014_2016,2004.0,MSW,Urethra,North America,USA,Chicago,1,0.008,0.004,Inducible,Intact,Intact,Yes
ERR1082240,GCGS0555,Grad2014_2016,2004.0,MSM,Urethra,North America,USA,Chicago,2,0.015,0.015,Inducible,Intact,Intact,Yes
ERR1082241,GCGS0729,Grad2014_2016,2004.0,MSW,Urethra,North America,USA,Chicago,1,0.03,0.004,Inducible,Intact,Intact,No
ERR1082242,GCGS1094,Grad2014_2016,2004.0,MSM,Urethra,North America,USA,Chicago,1,0.004,2,Inducible,Intact,Intact,Yes
ERR1082243,GCGS0264,Grad2014_2016,2004.0,MSW,Urethra,North America,USA,Chicago,8,0.008,0.004,Inducible,Intact,Intact,Yes
ERR1082244,GCGS0266,Grad2014_2016,2004.0,MSM,Urethra,North America,USA,Chicago,1,0.004,0.004,Inducible,Intact,Intact,Yes
ERR1082245,GCGS0340,Grad2014_2016,2004.0,,Urethra,North America,USA,Cincinnati,1,0.008,0.004,Inducible,Intact,Intact,Yes
ERR1082246,GCGS0341,Grad2014_2016,2004.0,MSW,Urethra,North America,USA,Cincinnati,1,0.015,0.004,Inducible,Intact,Intact,Yes
ERR1082247,GCGS0269,Grad2014_2016,2004.0,MSW,Urethra,North America,USA,Cincinnati,1,0.004,0.002,Inducible,Intact,Intact,Yes
ERR1082248,GCGS0342,Grad2014_2016,2004.0,MSW,Urethra,North America,USA,Cincinnati,2,0.015,0.002,Inducible,Intact,Intact,Yes
ERR1082249,GCGS0343,Grad2014_2016,2004.0,MSW,Urethra,North America,USA,Cincinnati,1,0.015,0.004,Inducible,Intact,Intact,Yes
ERR1082251,GCGS0738,Grad2014_2016,2004.0,MSW,Urethra,North America,USA,Cincinnati,1,0.03,0.015,Inducible,Intact,Intact,Yes
ERR1082252,GCGS0570,Grad2014_2016,2004.0,MSM,Urethra,North America,USA,Cleveland,1,0.03,0.015,Inducible,Intact,Intact,Yes
ERR1082253,GCGS0589,Grad2014_2016,2004.0,MSW,Urethra,North America,USA,Los Angeles,8,0.015,8,Inducible,Intact,Intact,Yes
ERR1082254,GCGS0280,Grad2014_2016,2004.0,MSW,Urethra,North America,USA,Las Vegas,2,0.004,0.004,Inducible,Intact,Intact,Yes
ERR1082255,GCGS0387,Grad2014_2016,2004.0,MSM,Urethra,North America,USA,Las Vegas,2,0.008,0.004,Inducible,Intact,Intact,Yes
ERR1082256,GCGS0597,Grad2014_2016,2004.0,MSM,Urethra,North America,USA,Las Vegas,1,0.03,16,Inducible,Intact,Intact,Yes
ERR1082257,GCGS0598,Grad2014_2016,2004.0,MSMW,Urethra,North America,USA,Las Vegas,1,0.03,0.03,Inducible,Intact,Intact,Yes
ERR1082258,GCGS0388,Grad2014_2016,2004.0,MSW,Urethra,North America,USA,Las Vegas,1,0.015,16,Inducible,Intact,Intact,Yes
ERR1082259,GCGS0282,Grad2014_2016,2004.0,MSM,Urethra,North America,USA,Las Vegas,2,0.004,0.008,Inducible,Intact,Intact,Yes
ERR1082260,GCGS0600,Grad2014_2016,2004.0,MSMW,Urethra,North America,USA,Las Vegas,1,0.015,0.008,Inducible,Intact,Intact,Yes
ERR1082261,GCGS0283,Grad2014_2016,2004.0,MSW,Urethra,North America,USA,Las Vegas,8,0.004,0.004,Inducible,Intact,Intact,Yes
ERR1082262,GCGS0607,Grad2014_2016,2004.0,MSW,Urethra,North America,USA,Miami,1,0.03,0.015,Inducible,Intact,Intact,Yes
ERR191730,GCGS0001,Grad2014_2016,2009.0,MSM,Urethra,North America,USA,Chicago,1,0.125,16,Inducible,Intact,Intact,Yes
ERR191731,GCGS0002,Grad2014_2016,2009.0,MSM,Urethra,North America,USA,Chicago,1,0.03,16,Inducible,Intact,Intact,Yes
ERR191732,GCGS0003,Grad2014_2016,2009.0,MSM,Urethra,North America,USA,Chicago,1,0.125,16,Inducible,Intact,Intact,Yes
ERR191733,GCGS0004,Grad2014_2016,2009.0,MSM,Urethra,North America,USA,Chicago,1,0.03,16,Inducible,Intact,Intact,Yes
ERR191734,GCGS0005,Grad2014_2016,2009.0,MSM,Urethra,North America,USA,Chicago,1,0.06,16,Inducible,Intact,Intact,Yes
ERR191735,GCGS0006,Grad2014_2016,2009.0,MSM,Urethra,North America,USA,Chicago,1,0.03,8,Inducible,Intact,Intact,Yes
ERR191736,GCGS0007,Grad2014_2016,2009.0,MSM,Urethra,North America,USA,Chicago,0.5,0.06,16,Inducible,Intact,Intact,Yes
ERR191737,GCGS0008,Grad2014_2016,2009.0,MSMW,Urethra,North America,USA,Chicago,0.25,0.008,1,Inducible,Intact,LOF,No
ERR191738,GCGS0009,Grad2014_2016,2009.0,MSM,Urethra,North America,USA,Denver,0.25,0.032,0.004,Inducible,Intact,Intact,Yes
ERR191739,GCGS0010,Grad2014_2016,2009.0,MSMW,Urethra,North America,USA,Las Vegas,0.5,0.015,0.015,Inducible,Intact,Intact,Yes
ERR191741,GCGS0012,Grad2014_2016,2009.0,MSW,Urethra,North America,USA,Detroit,0.25,0.06,0.015,Inducible,Intact,Intact,Yes
ERR191743,GCGS0014,Grad2014_2016,2009.0,MSW,Urethra,North America,USA,Detroit,0.5,0.06,0.015,Inducible,Intact,Intact,Yes
ERR191746,GCGS0017,Grad2014_2016,2009.0,MSM,Urethra,North America,USA,Honolulu,1,0.06,32,Inducible,Intact,Intact,Yes
ERR191747,GCGS0018,Grad2014_2016,2009.0,MSM,Urethra,North America,USA,Honolulu,8,0.008,0.015,Inducible,Intact,Intact,Yes
ERR191748,GCGS0019,Grad2014_2016,2009.0,MSM,Urethra,North America,USA,Honolulu,1,0.06,32,Inducible,Intact,Intact,Yes
ERR191749,GCGS0020,Grad2014_2016,2009.0,MSM,Urethra,North America,USA,San Diego,0.5,0.008,2,Inducible,Intact,Intact,Yes
ERR191750,GCGS0021,Grad2014_2016,2009.0,MSM,Urethra,North America,USA,Honolulu,1,0.06,32,Inducible,Intact,Intact,Yes
ERR191751,GCGS0022,Grad2014_2016,2009.0,MSM,Urethra,North America,USA,San Diego,0.5,0.06,16,Inducible,Intact,Intact,Yes
ERR191752,GCGS0023,Grad2014_2016,2009.0,MSW,Urethra,North America,USA,Honolulu,0.5,0.03,16,Inducible,Intact,Intact,Yes
ERR191753,GCGS0024,Grad2014_2016,2009.0,MSW,Urethra,North America,USA,Honolulu,0.5,0.06,4,Inducible,Intact,Intact,Yes
ERR191755,GCGS0026,Grad2014_2016,2009.0,MSM,Urethra,North America,USA,San Diego,0.5,0.06,16,Inducible,Intact,Intact,Yes
ERR191756,GCGS0027,Grad2014_2016,2009.0,MSM,Urethra,North America,USA,Honolulu,0.5,0.03,32,Inducible,Intact,Intact,Yes
ERR191757,GCGS0028,Grad2014_2016,2009.0,MSM,Urethra,North America,USA,San Diego,1,0.008,8,Inducible,Intact,Intact,Yes
ERR191759,GCGS0030,Grad2014_2016,2009.0,MSM,Urethra,North America,USA,San Diego,1,0.008,8,Inducible,Intact,Intact,Yes
ERR191760,GCGS0031,Grad2014_2016,2009.0,MSM,Urethra,North America,USA,Honolulu,0.5,0.03,32,Inducible,Intact,Intact,Yes
ERR191761,GCGS0032,Grad2014_2016,2009.0,MSM,Urethra,North America,USA,San Diego,0.5,0.03,16,Inducible,Intact,Intact,Yes
ERR191762,GCGS0033,Grad2014_2016,2009.0,MSW,Urethra,North America,USA,Los Angeles,0.25,0.06,16,Inducible,Intact,Intact,Yes
ERR191763,GCGS0034,Grad2014_2016,2009.0,MSW,Urethra,North America,USA,Orange County,1,0.06,32,Inducible,Intact,Intact,Yes
ERR191764,GCGS0035,Grad2014_2016,2009.0,MSW,Urethra,North America,USA,Los Angeles,1,0.125,32,Inducible,Intact,Intact,Yes
ERR191765,GCGS0036,Grad2014_2016,2009.0,MSW,Urethra,North America,USA,Orange County,0.5,0.015,16,Inducible,Intact,Intact,No
ERR191766,GCGS0037,Grad2014_2016,2009.0,MSM,Urethra,North America,USA,Los Angeles,0.5,0.125,32,Inducible,Intact,Intact,Yes
ERR191767,GCGS0038,Grad2014_2016,2009.0,MSM,Urethra,North America,USA,Los Angeles,8,0.008,0.015,Inducible,Intact,Intact,Yes
ERR191768,GCGS0039,Grad2014_2016,2009.0,MSW,Urethra,North America,USA,Las Vegas,1,0.125,16,Inducible,Intact,Intact,Yes
ERR191769,GCGS0040,Grad2014_2016,2009.0,MSW,Urethra,North America,USA,Las Vegas,0.125,0.03,16,Inducible,Intact,Intact,Yes
